window_size,DU_size,filesize,time(ms),data_sent(bytes),data_rate(kbytes/s)
4,500,59792,2.568,60960,23738.316
4,500,59792,2.465,60960,24730.225
4,500,59792,7.017,60960,8687.473
4,500,59792,7.724,60960,7892.284
4,500,59792,7.392,60960,8246.753
4,500,59792,2.529,60960,24104.389
4,500,59792,8.617,60960,7074.388
4,500,59792,3.422,60960,17814.145
4,500,59792,2.656,60960,22951.809
4,500,59792,4.163,60960,14643.286
4,500,59792,6.486,60960,9398.705
4,500,59792,2.361,60960,25819.566
2,500,59792,5.645,60960,10798.938
2,500,59792,12.024,60960,5069.860
2,500,59792,5.257,60960,11595.968
2,500,59792,5.393,60960,11303.541
2,500,59792,15.600,60960,3907.692
2,500,59792,4.998,60960,12196.878
2,500,59792,4.349,60960,14017.016
2,500,59792,5.737,60960,10625.763
2,500,59792,4.538,60960,13433.230
2,500,59792,12.030,60960,5067.332
1,500,59792,7.974,60960,7644.846
1,500,59792,18.873,60960,3230.011
1,500,59792,17.260,60960,3531.865
1,500,59792,15.638,60960,3898.197
1,500,59792,17.627,60960,3458.331
1,500,59792,9.124,60960,6681.280
1,500,59792,11.179,60960,5453.082
1,500,59792,10.888,60960,5598.825
1,500,59792,20.011,60960,3046.324
1,500,59792,8.109,60960,7517.573
1,500,59792,12.893,60960,4728.147
1,500,59792,14.622,60960,4169.061
1,500,38542,6.250,39624,6339.840
